job_role,experience_years,education_level,skills,salary,is_demonstration
Frontend Developer,10.7,Bachelor's Degree,"TypeScript, CSS3, Git, Tailwind CSS, HTML5",142500,True
DevOps Engineer,4.4,Master's Degree,"Microservices, Git, Linux, Nginx",150500,True
AI Engineer,5.8,Bachelor's Degree,"TensorFlow, PyTorch, Large Language Models, Transformers, Python, Vector Databases",175000,True
Full Stack Developer,2.9,Bachelor's Degree,"CSS3, Tailwind CSS, Git, Node.js, React, JavaScript, MongoDB, Docker",124000,True
DevOps Engineer,7.3,Bachelor's Degree,"Microservices, AWS, Prometheus & Grafana, Nginx, Shell / Bash, Linux, CI/CD",172500,True
Frontend Developer,6.2,Master's Degree,"REST APIs, HTML5, CSS3, Git, JavaScript, React, TypeScript",135500,True
Full Stack Developer,2.8,Bachelor's Degree,"CSS3, Git, PostgreSQL, JavaScript",116000,True
Frontend Developer,1.9,Bachelor's Degree,"Git, HTML5, REST APIs, TypeScript, React, Responsive Design, CSS3, JavaScript",100000,True
Frontend Developer,8.2,Bachelor's Degree,"React, JavaScript, CSS3, HTML5, Responsive Design, TypeScript",127500,True
Data Scientist,1.5,Bachelor's Degree,"Pandas, Machine Learning, SQL, NumPy",109500,True
Cloud Engineer,2.8,Bachelor's Degree,"Kubernetes, Microservices, Google Cloud Platform (GCP), AWS, Microsoft Azure, System Design, Docker, CI/CD, Rust",155500,True
Data Scientist,12.4,Bachelor's Degree,"Pandas, Data Visualization, A/B Testing, Scikit-Learn, Machine Learning, Data Wrangling",169000,True
Cloud Engineer,3.4,Bachelor's Degree,"CI/CD, Terraform, AWS, Linux, System Design, Microsoft Azure, Google Cloud Platform (GCP), Docker",149000,True
Backend Developer,2.5,High School / Bootcamp,"Node.js, Go, REST APIs, Microservices",105000,True
DevOps Engineer,5.5,Bachelor's Degree,"Microservices, AWS, Prometheus & Grafana, Git, CI/CD, Shell / Bash, Linux, Terraform",160500,True
AI Engineer,2.2,Master's Degree,"TensorFlow, Natural Language Processing, Vector Databases, Hugging Face, Deep Learning, Transformers, Large Language Models, LangChain",164000,True
Data Scientist,5.5,High School / Bootcamp,"Pandas, Machine Learning, SQL, Python, Scikit-Learn",127500,True
ML Engineer,4.7,Associate's Degree,"MLOps, Docker, Machine Learning",134000,True
Backend Developer,2.9,Bachelor's Degree,"REST APIs, Microservices, FastAPI, PostgreSQL, System Design, Java, Docker",120000,True
Cloud Engineer,9.7,Bachelor's Degree,"Docker, Microsoft Azure, DevOps, Google Cloud Platform (GCP), Large Language Models",168500,True
Data Scientist,1.8,Bachelor's Degree,"A/B Testing, Data Wrangling, NumPy, Data Visualization, Python",115500,True
Cloud Engineer,1.4,Bachelor's Degree,"Linux, Google Cloud Platform (GCP), System Design, Kubernetes, Terraform",123000,True
AI Engineer,4.4,High School / Bootcamp,"Deep Learning, Vector Databases, Python, Large Language Models",146500,True
Frontend Developer,2.2,Ph.D.,"REST APIs, TypeScript, Responsive Design, React, HTML5, Redux",125500,True
AI Engineer,5.3,High School / Bootcamp,"Transformers, Large Language Models, Deep Learning, Go",154500,True
AI Engineer,4.1,Bachelor's Degree,"RAG, Transformers, Hugging Face, Deep Learning",153000,True
Mobile Developer,7.1,Bachelor's Degree,"Swift, TypeScript, Mobile UI, React Native",135500,True
Software Engineer,2.7,Master's Degree,"Git, REST APIs, CI/CD, Linux, Java, Algorithms, System Design, Docker",133000,True
Cyber Security Analyst,5.9,Bachelor's Degree,"Cryptography, Python, Security Compliance, Penetration Testing, Incident Response, AWS, Networking",140000,True
ML Engineer,6.5,Bachelor's Degree,"MLOps, Python, TensorFlow, Docker",162500,True
DevOps Engineer,8.9,Bachelor's Degree,"AWS, Kubernetes, Prometheus & Grafana, Microservices, Linux, CI/CD, Docker",170000,True
AI Engineer,6.6,Bachelor's Degree,"LangChain, PyTorch, Transformers, Deep Learning, TensorFlow, RAG, Natural Language Processing, Python",187500,True
Data Scientist,1.8,Bachelor's Degree,"Python, A/B Testing, Statistical Modeling, Data Wrangling, Pandas",121000,True
AI Engineer,2.0,Bachelor's Degree,"LangChain, Vector Databases, Natural Language Processing, Hugging Face, Large Language Models, PyTorch, Transformers",147000,True
Software Engineer,7.4,Bachelor's Degree,"Microservices, Git, REST APIs, System Design, Algorithms",143500,True
Full Stack Developer,5.3,Bachelor's Degree,"Express, JavaScript, MongoDB, CSS3, Git, Docker, REST APIs, HTML5",146000,True
Frontend Developer,7.1,Master's Degree,"HTML5, CSS3, React, Tailwind CSS, Rust",140500,True
Cloud Engineer,2.8,Associate's Degree,"Terraform, CI/CD, Microsoft Azure, Docker, Google Cloud Platform (GCP)",129000,True
ML Engineer,1.2,Ph.D.,"Pandas, TensorFlow, Machine Learning, Docker, Data Pipelines",141000,True
Backend Developer,8.2,High School / Bootcamp,"Node.js, Microservices, MongoDB, PostgreSQL, REST APIs, FastAPI, SQL",143000,True
Software Engineer,1.1,Master's Degree,"CI/CD, Java, Microservices, Algorithms, Git, Large Language Models",117500,True
Data Scientist,3.9,Bachelor's Degree,"Data Wrangling, Data Visualization, Scikit-Learn, Python, Statistical Modeling, Pandas",129000,True
Data Scientist,1.5,Ph.D.,"Statistical Modeling, NumPy, Pandas",131500,True
Full Stack Developer,7.5,Master's Degree,"JavaScript, Express, React, MongoDB, REST APIs, Docker, CSS3, Rust",168500,True
Data Scientist,13.7,Associate's Degree,"Tableau, SQL, Data Wrangling, Machine Learning, NumPy, Pandas",176500,True
Software Engineer,9.7,Master's Degree,"Git, CI/CD, Python, Linux, Algorithms, REST APIs, SQL",151500,True
Software Engineer,3.0,Bachelor's Degree,"SQL, REST APIs, Linux, Git, Algorithms, CI/CD, System Design",117500,True
Backend Developer,0.7,Master's Degree,"Microservices, Go, REST APIs, MongoDB, System Design, FastAPI",118500,True
DevOps Engineer,6.8,Master's Degree,"Docker, Microservices, Shell / Bash, AWS, Prometheus & Grafana, Git, CI/CD",177000,True
DevOps Engineer,6.2,Bachelor's Degree,"Kubernetes, Microservices, Shell / Bash, CI/CD, Git",151000,True
Backend Developer,3.3,Master's Degree,"SQL, FastAPI, Docker, Python, PostgreSQL, System Design, Node.js",138500,True
Frontend Developer,1.6,Master's Degree,"TypeScript, Git, HTML5",99000,True
Data Scientist,2.9,Bachelor's Degree,"Python, SQL, Scikit-Learn, Machine Learning, Statistical Modeling, NumPy, Data Visualization",128000,True
AI Engineer,2.9,Bachelor's Degree,"Hugging Face, RAG, Large Language Models, Python, PyTorch, Natural Language Processing, Vector Databases, Docker",158500,True
Full Stack Developer,9.5,Bachelor's Degree,"REST APIs, Docker, Node.js, Git, PostgreSQL, HTML5, Go",165500,True
Frontend Developer,7.9,Bachelor's Degree,"Redux, CSS3, TypeScript, HTML5, JavaScript, React, System Design",131000,True
Data Scientist,4.6,High School / Bootcamp,"Statistical Modeling, NumPy, A/B Testing, Pandas, Python",125500,True
Software Engineer,5.8,Master's Degree,"Algorithms, Java, Data Structures, Git, System Design",145500,True
Software Engineer,4.1,Master's Degree,"System Design, Microservices, SQL, Linux, Java, Algorithms, Python, CI/CD",147500,True
Data Scientist,5.1,Master's Degree,"A/B Testing, SQL, Tableau",133500,True
Frontend Developer,0.6,Bachelor's Degree,"React, JavaScript, REST APIs, Git, Responsive Design, Redux, TypeScript, Rust",93500,True
AI Engineer,6.7,Bachelor's Degree,"Transformers, Vector Databases, Python, Deep Learning, RAG, TensorFlow, Rust",177500,True
Backend Developer,7.8,Bachelor's Degree,"SQL, Node.js, PostgreSQL, Docker",145000,True
Frontend Developer,6.2,Bachelor's Degree,"TypeScript, Redux, Tailwind CSS, JavaScript, React, REST APIs, Responsive Design",122500,True
Full Stack Developer,3.0,Master's Degree,"JavaScript, MongoDB, HTML5, PostgreSQL, React, CSS3, TypeScript, Go",144000,True
DevOps Engineer,7.0,Ph.D.,"Linux, Prometheus & Grafana, CI/CD, Shell / Bash, Terraform, Microservices, Kubernetes",214500,True
AI Engineer,2.8,Master's Degree,"TensorFlow, Large Language Models, Python, Hugging Face, LangChain, Deep Learning, Vector Databases",152500,True
DevOps Engineer,8.7,Bachelor's Degree,"Terraform, Nginx, Kubernetes, CI/CD, Microservices, Prometheus & Grafana, Git",165500,True
Data Scientist,5.4,Associate's Degree,"A/B Testing, Statistical Modeling, Pandas, Tableau, Python, Machine Learning, NumPy, SQL",140000,True
ML Engineer,12.0,Associate's Degree,"Data Pipelines, Kubernetes, MLOps, Machine Learning, Scikit-Learn, FastAPI, Deep Learning, Python, Large Language Models",193000,True
Software Engineer,4.7,Bachelor's Degree,"Microservices, SQL, Algorithms",114000,True
Full Stack Developer,7.5,Bachelor's Degree,"REST APIs, JavaScript, CSS3, Tailwind CSS, Docker, MongoDB, React",158000,True
Data Scientist,5.6,Bachelor's Degree,"Statistical Modeling, Tableau, A/B Testing",137000,True
Full Stack Developer,6.8,Master's Degree,"Docker, Tailwind CSS, JavaScript",152500,True
Software Engineer,4.2,Master's Degree,"SQL, Git, Java, System Design, Algorithms, REST APIs, CI/CD, Microservices",139500,True
Full Stack Developer,4.8,Associate's Degree,"TypeScript, CSS3, PostgreSQL, React, REST APIs, Express",131000,True
Data Scientist,4.7,High School / Bootcamp,"Data Wrangling, Data Visualization, Scikit-Learn, Python, Machine Learning",129500,True
AI Engineer,7.5,Master's Degree,"Hugging Face, Python, TensorFlow, PyTorch, Deep Learning, Transformers, RAG, Large Language Models",200500,True
DevOps Engineer,7.7,Bachelor's Degree,"Kubernetes, Docker, Terraform, Prometheus & Grafana",156500,True
Mobile Developer,1.1,Bachelor's Degree,"Mobile UI, Kotlin, React Native, Flutter, Git, Firebase, TypeScript, REST APIs",103000,True
Data Engineer,6.3,Bachelor's Degree,"ETL, PostgreSQL, Data Pipelines, Apache Spark, Docker",130500,True
Frontend Developer,3.1,Bachelor's Degree,"React, TypeScript, Git, Responsive Design, HTML5, Tailwind CSS, CSS3",110500,True
Data Engineer,5.2,Master's Degree,"ETL, Data Warehousing, PostgreSQL, Pandas, Apache Spark, Kafka, Python",150500,True
ML Engineer,4.1,Bachelor's Degree,"Scikit-Learn, Deep Learning, Pandas, Kubernetes, Machine Learning, Data Pipelines, TensorFlow, System Design",160000,True
DevOps Engineer,5.5,High School / Bootcamp,"Git, Microservices, Linux",134500,True
Frontend Developer,4.0,Bachelor's Degree,"REST APIs, HTML5, Redux, React, Git, AWS",117500,True
AI Engineer,3.9,Bachelor's Degree,"Transformers, Natural Language Processing, Hugging Face, Large Language Models",159000,True
Full Stack Developer,1.5,Bachelor's Degree,"HTML5, PostgreSQL, Git, Node.js",98500,True
ML Engineer,3.5,Bachelor's Degree,"Scikit-Learn, Kubernetes, Python, Machine Learning, MLOps, FastAPI",143500,True
Frontend Developer,8.6,Bachelor's Degree,"CSS3, TypeScript, Redux, Responsive Design, HTML5, REST APIs, React",134000,True
Software Engineer,1.6,Bachelor's Degree,"Linux, Python, Microservices, System Design, Java, SQL",104000,True
ML Engineer,4.3,Bachelor's Degree,"MLOps, Data Pipelines, Scikit-Learn, TensorFlow",137000,True
Cloud Engineer,5.6,Bachelor's Degree,"System Design, AWS, Linux, Kubernetes, Terraform",154000,True
Frontend Developer,5.1,Bachelor's Degree,"Redux, React, HTML5, JavaScript, CSS3, Responsive Design, TypeScript, Kubernetes",122000,True
Full Stack Developer,5.0,Master's Degree,"React, REST APIs, Node.js, Docker, HTML5, Tailwind CSS, Express, MongoDB",151000,True
Full Stack Developer,2.6,Bachelor's Degree,"Tailwind CSS, Node.js, Docker, Express, REST APIs, PostgreSQL, TypeScript",128000,True
DevOps Engineer,7.0,Master's Degree,"Linux, Git, Kubernetes, Nginx, CI/CD, Terraform, Shell / Bash, AWS, Rust",181500,True
Software Engineer,8.7,Bachelor's Degree,"System Design, Linux, Algorithms",147000,True
DevOps Engineer,7.0,Master's Degree,"Git, Prometheus & Grafana, Microservices, CI/CD, Nginx, Terraform",172500,True
Cloud Engineer,4.2,Master's Degree,"CI/CD, Microsoft Azure, AWS, System Design",154500,True
Cyber Security Analyst,3.2,Bachelor's Degree,"AWS, Cryptography, Python, Networking",129000,True
Data Scientist,8.5,Bachelor's Degree,"Pandas, Data Wrangling, Data Visualization, Tableau",163500,True
Full Stack Developer,2.5,Bachelor's Degree,"HTML5, Express, PostgreSQL, MongoDB, JavaScript",115000,True
Data Scientist,2.6,Bachelor's Degree,"Scikit-Learn, SQL, A/B Testing, Statistical Modeling, Tableau, Data Wrangling, Machine Learning, Data Visualization",111000,True
Data Scientist,5.3,Master's Degree,"A/B Testing, Data Wrangling, SQL, Machine Learning",154000,True
Data Scientist,11.1,Bachelor's Degree,"Machine Learning, SQL, NumPy, A/B Testing, Python, Scikit-Learn, Tableau",170000,True
AI Engineer,0.5,Bachelor's Degree,"Natural Language Processing, Vector Databases, PyTorch, Kubernetes",123500,True
DevOps Engineer,2.7,Bachelor's Degree,"Nginx, Terraform, Microservices, Git, Shell / Bash",117500,True
Cyber Security Analyst,3.0,Bachelor's Degree,"Networking, Python, Penetration Testing, Security Compliance, Incident Response, Docker",128500,True
Backend Developer,8.1,Bachelor's Degree,"Go, System Design, Microservices, MongoDB, Java, SQL, Rust",156500,True
DevOps Engineer,10.2,Bachelor's Degree,"Docker, CI/CD, Git, Nginx, Microservices, Kubernetes, Linux, AWS",183000,True
Frontend Developer,2.6,Bachelor's Degree,"Responsive Design, Tailwind CSS, HTML5, React, TypeScript, CSS3, Git",106000,True
Cloud Engineer,11.4,Bachelor's Degree,"DevOps, Terraform, CI/CD, System Design, Google Cloud Platform (GCP), Microsoft Azure",197500,True
Frontend Developer,5.8,Master's Degree,"Git, Redux, Responsive Design",129000,True
Full Stack Developer,4.9,Bachelor's Degree,"PostgreSQL, Git, JavaScript, TypeScript, Node.js, REST APIs, Tailwind CSS, Docker",138500,True
Data Scientist,1.5,Bachelor's Degree,"Data Visualization, NumPy, Tableau, Statistical Modeling",105000,True
Data Scientist,2.7,Ph.D.,"Statistical Modeling, NumPy, A/B Testing, Tableau, Data Wrangling, Python",151500,True
Full Stack Developer,2.0,Bachelor's Degree,"PostgreSQL, Node.js, Tailwind CSS, REST APIs, HTML5, Express",103500,True
Frontend Developer,5.3,Bachelor's Degree,"Git, JavaScript, Responsive Design, Redux",115000,True
Mobile Developer,7.2,Bachelor's Degree,"Swift, React Native, Flutter, TypeScript, Kotlin, Firebase, Mobile UI, Git",142000,True
AI Engineer,0.4,Bachelor's Degree,"Deep Learning, LangChain, TensorFlow, PyTorch, Python, Large Language Models, Hugging Face, Transformers, System Design",139000,True
Full Stack Developer,6.9,Bachelor's Degree,"Docker, Node.js, Express, TypeScript",147000,True
Software Engineer,5.8,Bachelor's Degree,"Microservices, Java, Linux, Python, System Design",125000,True
Cyber Security Analyst,3.9,Bachelor's Degree,"Penetration Testing, Python, AWS",127000,True
Cyber Security Analyst,5.7,Master's Degree,"SIEM, Linux, Cryptography, Security Compliance, Networking, Incident Response, Penetration Testing",146000,True
Cloud Engineer,6.9,Master's Degree,"Linux, Docker, Terraform, CI/CD, Microservices, Google Cloud Platform (GCP)",175500,True
Cloud Engineer,12.0,Master's Degree,"Microsoft Azure, CI/CD, Terraform, DevOps, AWS, Microservices, Linux, System Design",211500,True
Frontend Developer,4.1,Associate's Degree,"TypeScript, Tailwind CSS, Redux, JavaScript, React, HTML5, CSS3",110000,True
Data Engineer,2.0,Bachelor's Degree,"Docker, PostgreSQL, SQL, Data Warehousing, Apache Spark",110500,True
Data Scientist,5.0,High School / Bootcamp,"Statistical Modeling, Data Wrangling, Data Visualization, A/B Testing, NumPy, Pandas",130000,True
Cloud Engineer,2.3,Bachelor's Degree,"Terraform, Kubernetes, Linux, Docker, Microsoft Azure, DevOps",122000,True
Frontend Developer,5.4,Bachelor's Degree,"JavaScript, REST APIs, HTML5, Git, React, Responsive Design, Redux",123500,True
Full Stack Developer,2.2,Bachelor's Degree,"CSS3, REST APIs, Docker, Git, MongoDB, JavaScript, PostgreSQL",116500,True
DevOps Engineer,10.5,Bachelor's Degree,"Docker, Microservices, Nginx, AWS, Shell / Bash, CI/CD, Git, Kubernetes",188000,True
ML Engineer,7.7,Bachelor's Degree,"Kubernetes, Deep Learning, TensorFlow, Python, Docker, Pandas, FastAPI, PyTorch",194500,True
Software Engineer,10.1,Master's Degree,"CI/CD, SQL, System Design, Java, Algorithms, Microservices, REST APIs",168500,True
Software Engineer,9.2,Bachelor's Degree,"Algorithms, REST APIs, Data Structures, Linux, SQL, Microservices",159500,True
Software Engineer,5.4,Master's Degree,"Git, Java, Microservices, Data Structures",136000,True
DevOps Engineer,5.8,Bachelor's Degree,"AWS, Git, Prometheus & Grafana",144000,True
Backend Developer,6.4,Associate's Degree,"Go, PostgreSQL, Node.js, Rust",135500,True
Cloud Engineer,5.6,Master's Degree,"DevOps, Microsoft Azure, Linux, Kubernetes",162500,True
Backend Developer,8.3,Bachelor's Degree,"Microservices, REST APIs, System Design, FastAPI, SQL, Go, Node.js, Python",160000,True
Software Engineer,1.5,Master's Degree,"Linux, System Design, Java, Microservices, Data Structures, Git",112000,True
Data Scientist,4.9,Bachelor's Degree,"Machine Learning, Scikit-Learn, Statistical Modeling",142500,True
Software Engineer,4.8,Bachelor's Degree,"Data Structures, Algorithms, Microservices, Python, Git, System Design, REST APIs",134500,True
ML Engineer,4.3,Master's Degree,"Machine Learning, Deep Learning, MLOps, Python, Scikit-Learn, Data Pipelines, TensorFlow, Pandas",167000,True
Data Scientist,3.0,Bachelor's Degree,"Data Visualization, A/B Testing, Machine Learning, SQL, Statistical Modeling, Python, NumPy, Pandas",130000,True
Cyber Security Analyst,4.0,Master's Degree,"Cryptography, SIEM, Incident Response, System Design",126000,True
Backend Developer,6.1,Associate's Degree,"MongoDB, FastAPI, Python, SQL, Node.js, System Design",140500,True
AI Engineer,1.2,Bachelor's Degree,"Large Language Models, PyTorch, Transformers, Deep Learning, Rust",140000,True
AI Engineer,4.5,Master's Degree,"Natural Language Processing, Hugging Face, PyTorch, Docker",165500,True
ML Engineer,5.2,Master's Degree,"Deep Learning, Docker, Machine Learning, PyTorch, MLOps, Python, TensorFlow, FastAPI, Kubernetes",184000,True
Frontend Developer,4.3,Master's Degree,"React, Redux, REST APIs, Git, TypeScript, JavaScript, CSS3, HTML5",126500,True
Cloud Engineer,4.7,Bachelor's Degree,"Docker, DevOps, Kubernetes",134500,True
DevOps Engineer,3.0,Bachelor's Degree,"CI/CD, Prometheus & Grafana, Nginx, Large Language Models",119500,True
Cloud Engineer,4.7,Bachelor's Degree,"Microservices, CI/CD, Terraform, Microsoft Azure, System Design, Docker",148500,True
Software Engineer,0.9,Bachelor's Degree,"REST APIs, System Design, Java, Data Structures, CI/CD, Python",100500,True
ML Engineer,2.1,Bachelor's Degree,"FastAPI, Pandas, Machine Learning, Scikit-Learn, MLOps, TensorFlow, Data Pipelines, Python",137500,True
Cloud Engineer,0.7,High School / Bootcamp,"AWS, Microsoft Azure, Linux, Terraform",101500,True
Frontend Developer,2.3,Master's Degree,"Tailwind CSS, Redux, CSS3",104500,True
Cloud Engineer,9.2,Bachelor's Degree,"Kubernetes, Google Cloud Platform (GCP), Microservices, Docker",192000,True
Software Engineer,0.4,Bachelor's Degree,"SQL, Algorithms, REST APIs, System Design",95500,True
ML Engineer,8.8,Master's Degree,"Machine Learning, Kubernetes, Docker, Python, TensorFlow",199500,True
Cloud Engineer,3.2,Bachelor's Degree,"DevOps, Docker, Microsoft Azure, AWS",135500,True
Cloud Engineer,3.9,Bachelor's Degree,"DevOps, Docker, CI/CD, Linux",134000,True
Data Engineer,4.8,Master's Degree,"Data Pipelines, Docker, SQL, Pandas, Kafka, Data Warehousing",143000,True
Software Engineer,8.0,Master's Degree,"SQL, System Design, CI/CD, Git, Java, Python",162000,True
Full Stack Developer,1.8,Bachelor's Degree,"Tailwind CSS, Express, Git, Docker",112000,True
Data Scientist,9.2,Associate's Degree,"NumPy, Statistical Modeling, Data Visualization, Python, Data Wrangling, Pandas, Tableau, SQL, Large Language Models",173500,True
Backend Developer,8.9,Master's Degree,"Python, System Design, Go",155000,True
Mobile Developer,0.9,Associate's Degree,"Flutter, React Native, Kotlin, Mobile UI, Firebase",91000,True
AI Engineer,8.1,Bachelor's Degree,"Large Language Models, Deep Learning, Hugging Face, TensorFlow, System Design",175000,True
ML Engineer,1.4,Master's Degree,"FastAPI, Kubernetes, Python, MLOps",127500,True
Data Scientist,5.9,Bachelor's Degree,"Python, Scikit-Learn, A/B Testing, Machine Learning",144500,True
Data Engineer,1.9,Master's Degree,"Apache Spark, Data Warehousing, AWS",103500,True
Backend Developer,4.5,High School / Bootcamp,"MongoDB, SQL, FastAPI, Java, Go, REST APIs, Microservices, PostgreSQL",121500,True
Full Stack Developer,12.4,Bachelor's Degree,"HTML5, Docker, React, Git",168500,True
Cloud Engineer,12.4,Associate's Degree,"CI/CD, Linux, Terraform, Microsoft Azure",163000,True
Cloud Engineer,2.1,Master's Degree,"Microsoft Azure, System Design, AWS, CI/CD, Linux",132000,True
Data Engineer,0.2,Bachelor's Degree,"SQL, Docker, PostgreSQL, Data Pipelines, Data Warehousing, Python, ETL",102000,True
Data Engineer,7.3,High School / Bootcamp,"Apache Spark, SQL, Data Pipelines, Kafka",142500,True
DevOps Engineer,0.9,Bachelor's Degree,"AWS, Shell / Bash, Nginx, Kubernetes, Microservices, CI/CD",111000,True
Full Stack Developer,5.8,Bachelor's Degree,"React, Docker, TypeScript, REST APIs, MongoDB, HTML5",133500,True
Cloud Engineer,8.0,Bachelor's Degree,"DevOps, System Design, Kubernetes, Microservices, Microsoft Azure, Google Cloud Platform (GCP), AWS, Linux",168500,True
Software Engineer,9.1,Bachelor's Degree,"Git, Java, CI/CD, Microservices, Data Structures, Algorithms, SQL, System Design",152500,True
Full Stack Developer,7.1,Bachelor's Degree,"Express, Tailwind CSS, Docker",141500,True
Full Stack Developer,7.2,Bachelor's Degree,"CSS3, REST APIs, Git",129500,True
DevOps Engineer,2.9,High School / Bootcamp,"Shell / Bash, Microservices, Terraform, Kubernetes, Nginx, CI/CD, Prometheus & Grafana",127000,True
Full Stack Developer,6.2,Master's Degree,"TypeScript, CSS3, REST APIs",148000,True
Data Scientist,1.4,Bachelor's Degree,"Data Visualization, SQL, A/B Testing, Pandas, Data Wrangling, Scikit-Learn, Statistical Modeling",117500,True
Software Engineer,5.2,Master's Degree,"REST APIs, CI/CD, Microservices, Python, Java",137000,True
Full Stack Developer,11.0,Bachelor's Degree,"JavaScript, Docker, Tailwind CSS, Express",172000,True
Data Scientist,2.2,Master's Degree,"Scikit-Learn, Machine Learning, Statistical Modeling, A/B Testing",128000,True
Cloud Engineer,1.3,Bachelor's Degree,"DevOps, Microsoft Azure, Google Cloud Platform (GCP)",108000,True
Backend Developer,2.3,Master's Degree,"MongoDB, Microservices, Docker, REST APIs, Node.js",122000,True
Full Stack Developer,4.4,Master's Degree,"Docker, Git, TypeScript, Express, JavaScript",141000,True
Data Engineer,7.3,Master's Degree,"Python, Docker, PostgreSQL, Pandas, Kafka, ETL, SQL, Data Warehousing",178500,True
Mobile Developer,8.8,Master's Degree,"TypeScript, Kotlin, Mobile UI, Swift, Firebase, Git",177000,True
Data Engineer,4.6,Bachelor's Degree,"ETL, Data Pipelines, Kafka, Pandas, Data Warehousing",132000,True
Cyber Security Analyst,2.0,Master's Degree,"Incident Response, SIEM, Cryptography, Networking, Linux, Security Compliance, AWS",123000,True
Software Engineer,9.5,Bachelor's Degree,"System Design, CI/CD, SQL, Git, REST APIs, Java, Microservices, AWS",162000,True
ML Engineer,7.2,Master's Degree,"FastAPI, Machine Learning, PyTorch, TensorFlow, Data Pipelines",179000,True
Data Scientist,1.5,Master's Degree,"Data Wrangling, A/B Testing, SQL, Machine Learning, Tableau, Scikit-Learn, Python",135500,True
AI Engineer,4.7,Bachelor's Degree,"TensorFlow, Transformers, Deep Learning, PyTorch, Natural Language Processing, RAG",173000,True
Software Engineer,4.7,Bachelor's Degree,"Data Structures, Microservices, REST APIs",124500,True
AI Engineer,0.8,Bachelor's Degree,"Natural Language Processing, Python, Vector Databases, Deep Learning, PyTorch, Transformers, TensorFlow",139500,True
Data Scientist,5.4,Associate's Degree,"Statistical Modeling, NumPy, Pandas, Data Visualization, Python, SQL",138000,True
Data Engineer,3.7,Bachelor's Degree,"Kafka, Pandas, Python, Data Warehousing, Data Pipelines, Docker, AWS, ETL",131000,True
ML Engineer,3.5,Bachelor's Degree,"Machine Learning, FastAPI, Kubernetes, Scikit-Learn, Deep Learning, PyTorch, Python, Data Pipelines",153500,True
Software Engineer,3.1,Bachelor's Degree,"REST APIs, Git, Data Structures, Python, Microservices, Algorithms, Java, SQL",125000,True
